Time(s);Coil;Accelerometer;Generator;
2025-05-31 17:47:11.000;-1,9195;36,386;988,58;
2025-05-31 17:47:11.001;-1,9719;16,454;1191,2;
2025-05-31 17:47:11.002;-2,0518;28,51;1395,1;
2025-05-31 17:47:11.003;-1,9898;17,136;1590,7;
2025-05-31 17:47:11.004;-1,9398;22,228;1788,4;
2025-05-31 17:47:11.005;-2,0506;24,435;1976,4;
2025-05-31 17:47:11.006;-1,9612;16,325;2165,5;
2025-05-31 17:47:11.007;-2,0554;23,737;2344,3;
2025-05-31 17:47:11.008;-1,966;18,713;2523,5;
2025-05-31 17:47:11.009;-1,9707;22,07;2691;
2025-05-31 17:47:11.010;-1,9398;12,705;2857,8;
2025-05-31 17:47:11.011;-1,9612;18,837;3013,5;
2025-05-31 17:47:11.012;-1,9886;13,339;3167,5;
2025-05-31 17:47:11.013;-1,8956;12,805;3308,7;
2025-05-31 17:47:11.014;-1,9254;5,9138;3448,1;
2025-05-31 17:47:11.015;-2,0125;8,5256;3574,3;
2025-05-31 17:47:11.016;-1,9338;2,7702;3698,4;
2025-05-31 17:47:11.017;-1,9517;-0,576;3808;
2025-05-31 17:47:11.018;-1,9731;-2,8493;3915,2;
2025-05-31 17:47:11.019;-1,9457;-5,7401;4005,7;
2025-05-31 17:47:11.020;-1,9326;-11,393;4094;
2025-05-31 17:47:11.021;-2,0017;-12,239;4167,9;
2025-05-31 17:47:11.022;-2,047;-16,755;4236,9;
2025-05-31 17:47:11.023;-2,0244;-23,386;4290,9;
2025-05-31 17:47:11.024;-2,0792;-28,817;4340;
2025-05-31 17:47:11.025;-2,0196;-33,792;4373,6;
2025-05-31 17:47:11.026;-2,0542;-40,407;4402,1;
2025-05-31 17:47:11.027;-1,991;-47,411;4415,3;
2025-05-31 17:47:11.028;-1,9445;-50,458;4422,7;
2025-05-31 17:47:11.029;-2,0697;-57,849;4415,6;
2025-05-31 17:47:11.030;-1,9839;-63,47;4402,6;
2025-05-31 17:47:11.031;-2,0864;-67,547;4373,4;
2025-05-31 17:47:11.032;-2,0041;-72,514;4339,7;
2025-05-31 17:47:11.032;-2,0244;-79,693;4290,2;
2025-05-31 17:47:11.034;-2,1221;-85,16;4236;
2025-05-31 17:47:11.035;-2,1329;-88,566;4166,4;
2025-05-31 17:47:11.036;-2,2068;-94,363;4092,7;
2025-05-31 17:47:11.037;-2,1555;-98,753;4003,6;
2025-05-31 17:47:11.038;-2,1651;-101,9;3910,7;
2025-05-31 17:47:11.039;-2,2914;-103,34;3802,8;
2025-05-31 17:47:11.040;-1,9839;-108,12;3692,4;
2025-05-31 17:47:11.041;-2,0756;-107,77;3567,2;
2025-05-31 17:47:11.042;-2,3153;-108,8;3439,2;
2025-05-31 17:47:11.043;-2,0637;-112,85;3298,3;
2025-05-31 17:47:11.044;-2,1317;-110,4;3154,9;
2025-05-31 17:47:11.045;-2,2521;-112,65;2999,3;
2025-05-31 17:47:11.046;-2,1162;-112,23;2841,8;
2025-05-31 17:47:11.047;-2,0804;-111,17;2672,9;
2025-05-31 17:47:11.048;-2,084;-112,81;2502,3;
2025-05-31 17:47:11.049;-2,0435;-109,87;2323,1;
2025-05-31 17:47:11.050;-2,016;-108,38;2143;
2025-05-31 17:47:11.051;-1,9493;-107,65;1951,2;
2025-05-31 17:47:11.052;-1,8921;-106,77;1761,6;
2025-05-31 17:47:11.053;-1,817;-102,24;1562,6;
2025-05-31 17:47:11.054;-1,9016;-102,9;1366,1;
2025-05-31 17:47:11.055;-1,8778;-101,41;1161;
2025-05-31 17:47:11.056;-1,9135;-96,679;958,88;
2025-05-31 17:47:11.057;-1,786;-93,954;749,2;
2025-05-31 17:47:11.058;-1,8456;-92,907;542,94;
2025-05-31 17:47:11.059;-1,8182;-88,461;330,7;
2025-05-31 17:47:11.060;-1,8134;-84,737;123,99;
2025-05-31 17:47:11.061;-1,7907;-84,129;-89,889;
2025-05-31 17:47:11.062;-1,8348;-81,964;-297,11;
2025-05-31 17:47:11.063;-1,8039;-77,639;-509,16;
2025-05-31 17:47:11.064;-1,7895;-75,574;-714,82;
2025-05-31 17:47:11.065;-1,8015;-75,064;-924,05;
2025-05-31 17:47:11.065;-1,7621;-70,706;-1125,9;
2025-05-31 17:47:11.067;-1,8158;-65,907;-1330,7;
2025-05-31 17:47:11.068;-1,8158;-65,046;-1528,2;
2025-05-31 17:47:11.069;-1,7919;-61,791;-1724,8;
2025-05-31 17:47:11.070;-1,8003;-55,872;-1913,4;
2025-05-31 17:47:11.071;-1,7431;-53,705;-2104,7;
2025-05-31 17:47:11.072;-1,7073;-51,952;-2284,4;
2025-05-31 17:47:11.073;-1,749;-45,93;-2464,8;
2025-05-31 17:47:11.074;-1,7442;-41,199;-2633,9;
2025-05-31 17:47:11.075;-1,7872;-38,905;-2802,6;
2025-05-31 17:47:11.076;-1,7562;-31,8;-2959;
2025-05-31 17:47:11.077;-1,7633;-25,476;-3114,8;
2025-05-31 17:47:11.078;-1,7633;-19,002;-3257,7;
2025-05-31 17:47:11.079;-1,7538;-15,635;-3399;
2025-05-31 17:47:11.080;-1,8003;-11,641;-3526,1;
2025-05-31 17:47:11.081;-1,7633;1,8761;-3652,3;
2025-05-31 17:47:11.082;-1,7454;-2,8398;-3763,6;
2025-05-31 17:47:11.083;-1,7264;8,4863;-3872,3;
2025-05-31 17:47:11.084;-1,774;17,301;-3966,7;
2025-05-31 17:47:11.085;-1,6882;22,553;-4057,5;
2025-05-31 17:47:11.086;-1,755;27,841;-4133,5;
2025-05-31 17:47:11.087;-1,7919;41,593;-4205,3;
2025-05-31 17:47:11.088;-1,7729;51,038;-4262,8;
2025-05-31 17:47:11.089;-1,7097;55,766;-4314,1;
2025-05-31 17:47:11.090;-1,7705;69,101;-4350,8;
2025-05-31 17:47:11.091;-1,6894;80,26;-4383,8;
2025-05-31 17:47:11.092;-1,6143;87,967;-4400,1;
2025-05-31 17:47:11.093;-1,6966;96,687;-4412,1;
2025-05-31 17:47:11.094;-1,6417;109,36;-4407,6;
2025-05-31 17:47:11.095;-1,8444;119,37;-4398,6;
2025-05-31 17:47:11.096;-1,687;121,24;-4373;
2025-05-31 17:47:11.097;-1,6453;136,67;-4343,4;
2025-05-31 17:47:11.098;-1,5857;142,52;-4296,9;
2025-05-31 17:47:11.099;-1,5881;145,57;-4247,8;
2025-05-31 17:47:11.100;-1,4546;150,69;-4181,8;
2025-05-31 17:47:11.101;-1,4522;157,59;-4111,3;
2025-05-31 17:47:11.102;-1,575;157,69;-4025,8;
2025-05-31 17:47:11.103;-1,3211;156,94;-3936,7;
2025-05-31 17:47:11.104;-1,569;159,53;-3832,5;
2025-05-31 17:47:11.105;-1,2209;161,45;-3725,5;
2025-05-31 17:47:11.106;-1,4224;150,25;-3604,2;
2025-05-31 17:47:11.107;-1,4462;154,05;-3480,1;
2025-05-31 17:47:11.108;-1,1756;145,61;-3342,2;
2025-05-31 17:47:11.109;-1,4248;138,63;-3202,5;
2025-05-31 17:47:11.110;-1,2567;133,16;-3050,6;
2025-05-31 17:47:11.111;-1,4272;124,96;-2896,3;
2025-05-31 17:47:11.112;-1,4045;117,92;-2730,1;
2025-05-31 17:47:11.113;-1,4331;106,96;-2563,8;
2025-05-31 17:47:11.114;-1,6036;101,26;-2385,4;
2025-05-31 17:47:11.115;-1,5917;90,152;-2207,7;
2025-05-31 17:47:11.116;-1,5034;83,303;-2018,9;
2025-05-31 17:47:11.117;-1,5452;75,938;-1831,6;
2025-05-31 17:47:11.118;-1,78;67,887;-1633,2;
2025-05-31 17:47:11.119;-1,755;62,085;-1440,6;
2025-05-31 17:47:11.120;-1,8193;59,72;-1237;
2025-05-31 17:47:11.121;-1,8492;48,059;-1035;
2025-05-31 17:47:11.122;-1,9398;46,133;-826,25;
2025-05-31 17:47:11.123;-1,836;38,637;-621,25;
2025-05-31 17:47:11.124;-1,842;39,834;-409,38;
2025-05-31 17:47:11.125;-1,9564;25,776;-202,54;
2025-05-31 17:47:11.126;-1,898;38,866;10,423;
2025-05-31 17:47:11.127;-1,935;17,036;217,82;
2025-05-31 17:47:11.128;-1,9088;41,461;430,45;
2025-05-31 17:47:11.129;-1,8861;9,9788;635,88;
2025-05-31 17:47:11.130;-2,0053;27,578;845,05;
2025-05-31 17:47:11.131;-1,991;26,632;1047,8;
2025-05-31 17:47:11.131;-2,0256;18,672;1253,1;
