z,s
0.05,0.0066281528092560545
0.055,0.007888937705912044
0.06,0.008992853173761741
0.065,0.010286303012799045
0.07,0.012141173015511592
0.075,0.01444596790490484
0.08,0.01760422236062094
0.085,0.021663280188063364
0.09,0.026531299348744528
0.095,0.03189406779674455
0.1,0.0375120720257428
0.105,0.043180702821939136
0.11,0.048650697289795215
0.115,0.053855567093011425
0.12,0.05882881726836513
0.125,0.06347619425228863
0.13,0.0672814925067633
0.135,0.06934029425053259
0.14,0.06892506734092993
0.145,0.066040139644921
0.15,0.061509832751071115
0.155,0.05656794200533957
0.16,0.05216592918745615
0.165,0.04854594806001452
0.17,0.04546275056125548
0.175,0.042656423541933663
0.18,0.039960238079029514
0.185,0.03711374060378326
0.19,0.03375929495841259
0.195,0.029685199741268833
0.2,0.024953552477869182
