z,s
0.05,0.006931029636956758
0.055,0.007676108976179855
0.06,0.008594154216772095
0.065,0.010043815797119628
0.07,0.01223009293011451
0.075,0.014443411253797781
0.08,0.017625513100445186
0.085,0.021880107907092994
0.09,0.026560209886606647
0.095,0.03140697008430951
0.1,0.036078306533168014
0.105,0.041082648313785844
0.11,0.04677613409266794
0.115,0.05297194766593969
0.12,0.05928567508504306
0.125,0.06466868809197356
0.13,0.0683021634352031
0.135,0.06938955447692215
0.14,0.06797640892488467
0.145,0.06472764618064569
0.15,0.06060401534568303
0.155,0.056417935082876756
0.16,0.05242529271923502
0.165,0.04862119283219345
0.17,0.045123864359503794
0.175,0.04208383552165354
0.18,0.03937200819607866
0.185,0.036532848736384155
0.19,0.03310818962531239
0.195,0.02890332531888662
0.2,0.02405334752584105
