z,s
0.05,0.008795238676970624
0.055,0.007414340922083058
0.06,0.007100492611465297
0.065,0.00854185913709116
0.07,0.01221382940140117
0.075,0.01802058717178021
0.08,0.02496910257164816
0.085,0.031475599818582056
0.09,0.036464853339339846
0.095,0.03978157177746174
0.1,0.04182010299104582
0.105,0.04304284233596066
0.11,0.04378619415403205
0.115,0.0442556212909426
0.12,0.04456342317741401
0.125,0.044771937740385126
0.13,0.044920226074097694
0.135,0.04502885655795526
0.14,0.04511102574375535
0.145,0.045174600321581326
0.15,0.045224384401125965
0.155,0.045263857889947065
0.16,0.04529557338366797
0.165,0.04532137222679466
0.17,0.04534258548618339
0.175,0.04536019039923177
0.18,0.04537491767947893
0.185,0.04538732475913333
0.19,0.045397842881500096
0.195,0.04540681052156635
0.2,0.04541449600109925
