z,s
0.05,0.008898811186577536
0.055,0.0073524756415554145
0.06,0.007250437912873468
0.065,0.008506310410919553
0.07,0.012019222555105298
0.075,0.017715999166461497
0.08,0.024632038343339276
0.085,0.031044269761299727
0.09,0.0361193118723921
0.095,0.039472267157788773
0.1,0.041513763640459854
0.105,0.042800547227038355
0.11,0.04354817736089144
0.115,0.04404399050261413
0.12,0.04434551269384047
0.125,0.044580935929801765
0.13,0.0447314733118796
0.135,0.04483268463398545
0.14,0.04491444384863004
0.145,0.044983141886956284
0.15,0.04503920830118971
0.155,0.045083905231911234
0.16,0.045119311308112156
0.165,0.045147501292278215
0.17,0.045170171789463996
0.175,0.045188626616334854
0.18,0.04520381636765786
0.185,0.0452164491998703
0.19,0.04522705111025928
0.195,0.045236020544262456
0.2,0.04524366037124172
