z,s
0.05,0.006819889145071593
0.055,0.007744630156258904
0.06,0.008853732838118453
0.065,0.008851273628526715
0.07,0.011060758244392217
0.075,0.014050702493237751
0.08,0.018027265573494423
0.085,0.022570977631609125
0.09,0.027812696368252402
0.095,0.03325651178419839
0.1,0.03808074329211535
0.105,0.041277363395315375
0.11,0.045706550595336064
0.115,0.051606411073768614
0.12,0.05714152470338228
0.125,0.061677660688420066
0.13,0.0650315185625217
0.135,0.06667949850155899
0.14,0.06611698046720871
0.145,0.06343830659750932
0.15,0.05950886508065592
0.155,0.05546075656710364
0.16,0.051929520628669144
0.165,0.04881011082758845
0.17,0.045653551053500545
0.175,0.04213573686477326
0.18,0.03823489344095772
0.185,0.03414215776873446
0.19,0.030003173434217257
0.195,0.025753799882577987
0.2,0.021284610669680765
