z,s
0.05,0.006845846202305043
0.055,0.007885568344410475
0.06,0.009047258584979847
0.065,0.010451745007035157
0.07,0.012202673995644358
0.075,0.014522348156280344
0.08,0.017720851492981436
0.085,0.022017704318474746
0.09,0.027286338746187994
0.095,0.032966495217193074
0.1,0.03834983657044782
0.105,0.043183396743215446
0.11,0.047896544842385876
0.115,0.053116509737239005
0.12,0.058812944634910776
0.125,0.06410768215795284
0.13,0.06794760697027014
0.135,0.0695823094657571
0.14,0.06877700114392825
0.145,0.06583728301115059
0.15,0.061536305131032774
0.155,0.056822703990892495
0.16,0.05242931028054521
0.165,0.04867320042816052
0.17,0.04552182681039912
0.175,0.042782750407493166
0.18,0.04017404705190205
0.185,0.037350673656757594
0.19,0.03402463898597398
0.195,0.03001280286844835
0.2,0.025326563641126724
