z,s
0.05,0.006582570953412948
0.055,0.00746003656324495
0.06,0.008468228599895287
0.065,0.009735425120355856
0.07,0.011442380599402282
0.075,0.013955880587568801
0.08,0.01731723491907559
0.085,0.022085673220576998
0.09,0.0277732535956447
0.095,0.033714950873856744
0.1,0.03936037855280656
0.105,0.044504217115828866
0.11,0.04938752893226287
0.115,0.054420451010506285
0.12,0.059727024476127315
0.125,0.06478876881056725
0.13,0.06875384018650477
0.135,0.07073584583970885
0.14,0.07019506612019226
0.145,0.06726088158731586
0.15,0.06269833630946091
0.155,0.0574709500107277
0.16,0.052315966818138646
0.165,0.04764912590526617
0.17,0.043628858348873006
0.175,0.04017071047133577
0.18,0.036993055424784316
0.185,0.03375277872810992
0.19,0.030161644170081464
0.195,0.026064258824741577
0.2,0.021526038906554718
