z,s
0.05,0.006879468033802465
0.055,0.007596480332221127
0.06,0.008872418585554164
0.065,0.010334261109817219
0.07,0.012063329514286503
0.075,0.014332397822162939
0.08,0.01734119578324615
0.085,0.021932902801365305
0.09,0.027614724433483236
0.095,0.03350989290475544
0.1,0.03886801015089891
0.105,0.04351718946718852
0.11,0.04777396353536606
0.115,0.051785447284586596
0.12,0.055720947382477806
0.125,0.059848386430776376
0.13,0.06418100404910616
0.135,0.06757273620561859
0.14,0.06849924963644578
0.145,0.06645373664304265
0.15,0.062262828882451604
0.155,0.05728300240006227
0.16,0.052495439164181625
0.165,0.04831058356548221
0.17,0.044753192940393344
0.175,0.04162024311952448
0.18,0.03856847980710748
0.185,0.035200075987113576
0.19,0.031201517172055958
0.195,0.026508119724718716
0.2,0.021387918764634653
