z,s
0.05,0.007969129643972157
0.055,0.007675252468892379
0.06,0.008924116794931991
0.065,0.010308759064836037
0.07,0.011954284757018464
0.075,0.014163425329744506
0.08,0.01713165048350893
0.085,0.022040591512400197
0.09,0.027846268079926868
0.095,0.03364427081043668
0.1,0.03873817738590681
0.105,0.04285388596436951
0.11,0.04584610083457864
0.115,0.04999906421196036
0.12,0.057914763755516456
0.125,0.06492754942902101
0.13,0.0686150143080332
0.135,0.06917946618693896
0.14,0.06739952774217249
0.145,0.06403209101055937
0.15,0.05991468327491949
0.155,0.05578825392619853
0.16,0.05203732098708378
0.165,0.04872808726318928
0.17,0.0457437172005008
0.175,0.04283077246129387
0.18,0.039631312475393136
0.185,0.03582042279596872
0.19,0.03127206240062458
0.195,0.02613405445716789
0.2,0.02079697255617299
