41.0,76.0,74.0,74.0
37.45,84.0,86.0,85.0
34.0,105.0,103.0,105.0
31.7,116.0,118.0,118.0
29.3,130.0,136.0,130.0
26.5,165.0,175.0,159.0
24.0,200.0,287.0,192.0
21.6,250.0,249.0,260.0
19.0,310.0,310.0,329.0
16.0,440.0,445.0,425.0
13.0,560.0,590.0,570.0
10.0,780.0,780.0,800.0
7.55,1225,1125,1214
4.0,1720.0,1700.0,1750.0
