z,s
0.05,0.004561876978726827
0.055,0.002701516412166645
0.06,0.0013041747389101192
0.065,0.00025047320723048415
0.07,0.00030716661392023246
0.075,0.00031135476752625806
0.08,0.0006345970375964586
0.085,0.0013848949228344907
0.09,0.0024676731217376157
0.095,0.003975324396286619
0.1,0.0060943145587549945
0.105,0.009121181808915928
0.11,0.013353854075101106
0.115,0.018914929770434512
0.12,0.02551241368663418
0.125,0.03209833390261902
0.13,0.03720407363319099
0.135,0.03949399346621687
0.14,0.03834553129526279
0.145,0.03413981738113359
0.15,0.02806586591437852
0.155,0.021556103151138813
0.16,0.015721454439376913
0.165,0.011110597444145009
0.17,0.007775652057927198
0.175,0.005485324654007457
0.18,0.0039408496783949545
0.185,0.0028941839252232073
0.19,0.002172767144542912
0.195,0.00166477610965938
0.2,0.0012991275373480785
