z,s
0.05,0.0045564862138087565
0.055,0.0027694323144026155
0.06,0.0013087238357446644
0.065,0.0002555678687339397
0.07,0.0003137121448299688
0.075,0.0003251734902789981
0.08,0.0006456296273387309
0.085,0.0013913509642248544
0.09,0.002472892873789102
0.095,0.003976721180468196
0.1,0.006095983814891027
0.105,0.009124812611266294
0.11,0.01336237823873571
0.115,0.018938195088591007
0.12,0.02554308224466167
0.125,0.03212507232346175
0.13,0.03722545785466809
0.135,0.0395127920559363
0.14,0.038367857204988275
0.145,0.03416527913211976
0.15,0.028089787388816158
0.155,0.021579543649909126
0.16,0.01574293392384254
0.165,0.011126937024488293
0.17,0.007786907564728469
0.175,0.005492801218099307
0.18,0.003945772141679679
0.185,0.002897461854858725
0.19,0.00217500066422024
0.195,0.0016663399614337622
0.2,0.0013002526230117704
