z,s
0.05,0.009136773082824349
0.055,0.0026991825595684676
0.06,0.001300775111029241
0.065,0.00026171215098512825
0.07,0.00031831819817171965
0.075,0.0003308994841721161
0.08,0.0006518872033719762
0.085,0.0013945111178796995
0.09,0.0024668110596115667
0.095,0.003977015709052036
0.1,0.006096958786986225
0.105,0.00910866074311562
0.11,0.013319655830148791
0.115,0.018921213299262104
0.12,0.025573157338567035
0.125,0.03218251815790805
0.13,0.03727274743941029
0.135,0.03953214360388804
0.14,0.03836857859560578
0.145,0.03417523467350013
0.15,0.028122044508839303
0.155,0.021609460767730054
0.16,0.01575681953374399
0.165,0.011134376930642361
0.17,0.007793240569815008
0.175,0.005497895337195269
0.18,0.003949420551315672
0.185,0.0028999663620524305
0.19,0.0021767278398652406
0.195,0.0016675590735528887
0.2,0.0013011377001192676
