Time(s);Coil;Accelerometer;Generator;
2025-05-26 20:00:14.000;-0,72296;24,896;1051,6;
2025-05-26 20:00:14.001;0,73423;17,779;2128;
2025-05-26 20:00:14.002;-0,14537;9,322;3054,4;
2025-05-26 20:00:14.003;2,0247;0,216;3771,9;
2025-05-26 20:00:14.004;2,1505;-8,899;4222,2;
2025-05-26 20:00:14.005;-1,4431;-17,401;4372,5;
2025-05-26 20:00:14.006;-2,9895;-24,609;4210,7;
2025-05-26 20:00:14.007;-0,58824;-30,056;3747,3;
2025-05-26 20:00:14.008;0,69485;-33,351;3023,2;
2025-05-26 20:00:14.009;3,1666;-34,186;2087;
2025-05-26 20:00:14.010;-1,6728;-32,575;1011,7;
2025-05-26 20:00:14.011;-2,1632;-28,596;-131,82;
2025-05-26 20:00:14.012;0,024925;-22,480;-1262,7;
2025-05-26 20:00:14.013;1,3771;-14,741;-2309;
2025-05-26 20:00:14.014;1,9336;-5,903;-3196,2;
2025-05-26 20:00:14.015;-0,21969;3,368;-3863,5;
2025-05-26 20:00:14.016;0,98954;12,408;-4260,9;
2025-05-26 20:00:14.017;1,5214;20,552;-4354,3;
2025-05-26 20:00:14.018;1,1912;27,193;-4141,2;
2025-05-26 20:00:14.019;-3,8524;31,838;-3629,2;
2025-05-26 20:00:14.020;-2,4354;34,099;-2865;
2025-05-26 20:00:14.021;-0,60532;33,997;-1899;
2025-05-26 20:00:14.022;0,97778;31,343;-808,39;
2025-05-26 20:00:14.023;2,2943;26,389;341,09;
2025-05-26 20:00:14.024;4,1957;19,649;1461,5;
2025-05-26 20:00:14.025;1,2151;11,469;2487,8;
2025-05-26 20:00:14.026;0,20481;2,451;3340,7;
2025-05-26 20:00:14.027;0,95446;-6,619;3965,1;
2025-05-26 20:00:14.028;-1,9172;-15,281;4310,3;
2025-05-26 20:00:14.029;-1,5988;-22,839;4350,5;
2025-05-26 20:00:14.030;-0,088014;-28,713;4081,5;
2025-05-26 20:00:14.031;2,3264;-32,568;3524,2;
2025-05-26 20:00:14.032;0,90534;-34,108;2723,1;
2025-05-26 20:00:14.032;-3,6755;-33,277;1734,7;
2025-05-26 20:00:14.034;-2,3225;-30,032;632,66;
2025-05-26 20:00:14.035;-1,2208;-24,636;-512,33;
2025-05-26 20:00:14.036;-0,24507;-17,542;-1620,3;
2025-05-26 20:00:14.037;0,80535;-9,157;-2620,1;
2025-05-26 20:00:14.038;1,8806;-0,096;-3441,9;
2025-05-26 20:00:14.039;1,335;8,917;-4025,3;
2025-05-26 20:00:14.040;0,88004;17,357;-4326,1;
2025-05-26 20:00:14.041;0,16712;24,526;-4318,8;
2025-05-26 20:00:14.042;1,195;29,943;-4006,2;
2025-05-26 20:00:14.043;1,417;33,175;-3406,5;
2025-05-26 20:00:14.044;-0,37797;34,054;-2573,3;
2025-05-26 20:00:14.045;2,0397;32,568;-1558,9;
2025-05-26 20:00:14.046;2,1158;28,586;-443,35;
2025-05-26 20:00:14.047;-1,8433;22,626;706,53;
2025-05-26 20:00:14.048;-0,24535;15,132;1804;
2025-05-26 20:00:14.049;0,21747;6,432;2782,9;
2025-05-26 20:00:14.050;0,92662;-2,628;3567,6;
2025-05-26 20:00:14.051;1,354;-11,483;4107,8;
2025-05-26 20:00:14.052;-1,0195;-19,634;4356,3;
2025-05-26 20:00:14.053;-0,13389;-26,308;4297,5;
2025-05-26 20:00:14.054;0,0042179;-31,084;3934,6;
2025-05-26 20:00:14.055;-1,0605;-33,680;3294,8;
2025-05-26 20:00:14.056;0,75911;-33,959;2429,1;
2025-05-26 20:00:14.057;0,33836;-31,762;1396,7;
2025-05-26 20:00:14.058;-1,1839;-27,301;273,53;
2025-05-26 20:00:14.059;-1,3526;-20,930;-868,38;
2025-05-26 20:00:14.060;0,04395;-13,081;-1949,3;
2025-05-26 20:00:14.061;-0,20535;-4,274;-2900,5;
2025-05-26 20:00:14.062;1,6767;4,819;-3651,8;
2025-05-26 20:00:14.063;2,7945;13,590;-4150,5;
2025-05-26 20:00:14.064;0,27641;21,409;-4357,6;
2025-05-26 20:00:14.065;-0,38928;27,639;-4253,7;
2025-05-26 20:00:14.065;2,5804;31,995;-3849,2;
2025-05-26 20:00:14.067;-2,1072;33,998;-3170,3;
2025-05-26 20:00:14.068;-2,6461;33,643;-2273,7;
2025-05-26 20:00:14.069;-0,033917;30,889;-1217,7;
2025-05-26 20:00:14.070;1,0127;25,854;-84,08;
2025-05-26 20:00:14.071;2,4175;19,123;1060,1;
2025-05-26 20:00:14.072;1,6539;10,988;2126,6;
2025-05-26 20:00:14.073;0,32635;2,081;3053,3;
2025-05-26 20:00:14.074;-0,36493;-6,872;3765,5;
