Time(s);Coil;Accelerometer;Generator;
2025-05-26 20:05:53.000;-0,83518;-477,15;-241,43;
2025-05-26 20:05:53.001;-1,8439;-470,58;375,8;
2025-05-26 20:05:53.002;-1,0321;-454,59;989,94;
2025-05-26 20:05:53.003;-0,54325;-429,31;1580,1;
2025-05-26 20:05:53.004;0,52221;-397,12;2143,9;
2025-05-26 20:05:53.005;1,8966;-357,82;2661;
2025-05-26 20:05:53.006;3,2395;-312,74;3130,1;
2025-05-26 20:05:53.007;-1,3704;-263,61;3532,4;
2025-05-26 20:05:53.008;0,70619;-210,28;3869,4;
2025-05-26 20:05:53.009;2,1042;-153,89;4124,1;
2025-05-26 20:05:53.010;-0,24314;-95,122;4299,5;
2025-05-26 20:05:53.011;0,20488;-34,173;4383,1;
2025-05-26 20:05:53.012;2,2379;27,904;4380,3;
2025-05-26 20:05:53.013;4,6993;90,736;4283,8;
2025-05-26 20:05:53.014;4,3377;153,15;4103,7;
2025-05-26 20:05:53.015;2,7033;214,17;3836,1;
2025-05-26 20:05:53.016;4,856;272,25;3493,8;
2025-05-26 20:05:53.017;1,2452;325,94;3079;
2025-05-26 20:05:53.018;1,7702;373,99;2604,9;
2025-05-26 20:05:53.019;2,0602;414,48;2077,8;
2025-05-26 20:05:53.020;0,55003;446,33;1512,1;
2025-05-26 20:05:53.021;2,3939;468,41;915,86;
2025-05-26 20:05:53.022;1,9798;480,13;302,59;
2025-05-26 20:05:53.023;-5,1596;480,81;-315,95;
2025-05-26 20:05:53.024;-4,9125;471,4;-927,73;
2025-05-26 20:05:53.025;-3,47;451,66;-1523,1;
2025-05-26 20:05:53.026;-2,0029;422,88;-2086,8;
2025-05-26 20:05:53.027;-0,60009;385,55;-2611,4;
2025-05-26 20:05:53.028;-0,56154;340,82;-3082;
2025-05-26 20:05:53.029;-3,917;289,3;-3494;
2025-05-26 20:05:53.030;-4,0855;232,1;-3833,6;
2025-05-26 20:05:53.031;-1,6412;170,23;-4098,9;
2025-05-26 20:05:53.032;0,19947;104,23;-4277,9;
2025-05-26 20:05:53.032;1,9538;36,23;-4374,1;
2025-05-26 20:05:53.034;3,2074;-33,887;-4375,1;
2025-05-26 20:05:53.035;5,7474;-103,69;-4289,5;
2025-05-26 20:05:53.036;0,35622;-171,47;-4111,6;
2025-05-26 20:05:53.037;-1,51;-236,63;-3853,8;
2025-05-26 20:05:53.038;-1,316;-296,86;-3513,1;
2025-05-26 20:05:53.039;0,9566;-349,24;-3106,7;
2025-05-26 20:05:53.040;0,32401;-394,09;-2633,6;
2025-05-26 20:05:53.041;1,9885;-429,64;-2112,6;
2025-05-26 20:05:53.042;1,4913;-453,95;-1544,9;
2025-05-26 20:05:53.043;-0,94661;-468,62;-952,79;
2025-05-26 20:05:53.044;-0,014331;-472,92;-337,39;
2025-05-26 20:05:53.045;1,1482;-467,42;280,37;
2025-05-26 20:05:53.046;-0,88902;-453,35;896,29;
2025-05-26 20:05:53.047;-3,0726;-430,93;1489,6;
2025-05-26 20:05:53.048;-1,5421;-401,74;2059,6;
2025-05-26 20:05:53.049;-0,8761;-366;2583,4;
2025-05-26 20:05:53.050;0,2356;-324,3;3061,9;
2025-05-26 20:05:53.051;1,3762;-278,09;3474,7;
2025-05-26 20:05:53.052;1,1944;-226,29;3823,1;
2025-05-26 20:05:53.053;3,1807;-170,15;4089,2;
2025-05-26 20:05:53.054;-2,3959;-110,52;4278,1;
2025-05-26 20:05:53.055;-6,3755;-47,304;4375,3;
2025-05-26 20:05:53.056;-3,4793;18,305;4386,7;
2025-05-26 20:05:53.057;-1,7285;84,002;4304,9;
2025-05-26 20:05:53.058;-0,049069;149,13;4137,7;
2025-05-26 20:05:53.059;0,94639;211,96;3883,2;
2025-05-26 20:05:53.060;1,948;270,23;3552,6;
2025-05-26 20:05:53.061;2,5469;323,14;3149,5;
2025-05-26 20:05:53.062;2,817;368,95;2684,4;
2025-05-26 20:05:53.063;3,7277;407,03;2166,3;
2025-05-26 20:05:53.064;3,2292;436,58;1606,7;
2025-05-26 20:05:53.065;-0,63386;457,38;1013,9;
2025-05-26 20:05:53.065;-0,43928;469,3;403,13;
2025-05-26 20:05:53.067;-0,32034;472,19;-216,59;
2025-05-26 20:05:53.068;0,58648;466,01;-829,53;
2025-05-26 20:05:53.069;-1,7396;451,18;-1428,3;
2025-05-26 20:05:53.070;-1,4542;427,27;-1997;
2025-05-26 20:05:53.071;-2,8519;394,99;-2528,8;
2025-05-26 20:05:53.072;-3,5312;354,38;-3008,5;
2025-05-26 20:05:53.073;-2,6836;305,57;-3432,2;
2025-05-26 20:05:53.074;-0,86724;250,22;-3783,6;
2025-05-26 20:05:53.075;0,61374;188,71;-4062,1;
2025-05-26 20:05:53.076;3,0343;122,17;-4255,1;
2025-05-26 20:05:53.077;3,7948;52,3;-4364,4;
2025-05-26 20:05:53.078;6,9381;-18,622;-4380,7;
2025-05-26 20:05:53.079;4,5853;-90,623;-4310,3;
2025-05-26 20:05:53.080;-6,0726;-160,16;-4147,3;
2025-05-26 20:05:53.081;-3,4841;-225,97;-3902,9;
2025-05-26 20:05:53.082;-2,0116;-286,94;-3574,7;
2025-05-26 20:05:53.083;-0,78718;-340,49;-3179,1;
2025-05-26 20:05:53.084;-0,35228;-386,91;-2715,8;
2025-05-26 20:05:53.085;0,10175;-423,84;-2201,9;
2025-05-26 20:05:53.086;0,070307;-451,6;-1640;
2025-05-26 20:05:53.087;0,094543;-469,28;-1051,6;
2025-05-26 20:05:53.088;-0,028374;-477,06;-437,25;
2025-05-26 20:05:53.089;-0,00094391;-474,68;180,23;
2025-05-26 20:05:53.090;0,19138;-462,93;799,72;
2025-05-26 20:05:53.091;0,71498;-441,81;1397,5;
2025-05-26 20:05:53.092;1,7313;-412,21;1973,9;
2025-05-26 20:05:53.093;3,5471;-375,37;2504,3;
2025-05-26 20:05:53.094;3,4961;-331;2992;
2025-05-26 20:05:53.095;-1,6832;-280,76;3415,1;
2025-05-26 20:05:53.096;0,55748;-226,48;3774,8;
2025-05-26 20:05:53.097;-1,7899;-168,4;4054,1;
2025-05-26 20:05:53.098;-2,1434;-107,75;4255,7;
2025-05-26 20:05:53.099;0,38157;-46,217;4366,4;
2025-05-26 20:05:53.100;1,7758;16,067;4391,1;
2025-05-26 20:05:53.101;2,2063;77,981;4323,1;
2025-05-26 20:05:53.102;2,1413;137,62;4168,3;
2025-05-26 20:05:53.103;3,4367;195;3927,4;
2025-05-26 20:05:53.104;3,7753;249,83;3607,8;
2025-05-26 20:05:53.105;5,266;300,39;3213,7;
2025-05-26 20:05:53.106;5,5755;346,2;2757,7;
2025-05-26 20:05:53.107;1,8692;386,68;2245,4;
2025-05-26 20:05:53.108;1,283;420,21;1692;
2025-05-26 20:05:53.109;0,55129;446,92;1103,7;
2025-05-26 20:05:53.110;-2,1453;464,57;495,85;
2025-05-26 20:05:53.111;-2,3855;473,22;-122,92;
2025-05-26 20:05:53.112;-3,0665;472,09;-737,14;
2025-05-26 20:05:53.113;-1,3774;460,79;-1339,4;
2025-05-26 20:05:53.114;-3,7413;439,41;-1912,5;
2025-05-26 20:05:53.115;-4,1697;407,61;-2450,4;
2025-05-26 20:05:53.116;-2,3201;367,61;-2938,2;
2025-05-26 20:05:53.117;-2,3798;318,66;-3370;
2025-05-26 20:05:53.118;-0,59978;262,87;-3732,5;
2025-05-26 20:05:53.119;0,6231;201,82;-4023;
2025-05-26 20:05:53.120;2,3572;135,42;-4229,7;
2025-05-26 20:05:53.121;1,7394;66,373;-4352,7;
2025-05-26 20:05:53.122;3,7175;-4,3777;-4383,4;
2025-05-26 20:05:53.123;2,1302;-76,186;-4327,2;
2025-05-26 20:05:53.124;-1,8157;-146,17;-4179;
2025-05-26 20:05:53.125;-4,4898;-213,59;-3947,7;
2025-05-26 20:05:53.126;-2,1573;-276,77;-3632,2;
2025-05-26 20:05:53.127;-1,1236;-333,09;-3247,9;
2025-05-26 20:05:53.128;-0,10787;-381,84;-2793,2;
2025-05-26 20:05:53.129;0,16212;-422,25;-2288,2;
2025-05-26 20:05:53.130;0,65223;-451,69;-1732;
2025-05-26 20:05:53.131;0,71473;-471,45;-1147,5;
2025-05-26 20:05:53.131;1,221;-480,22;-534,92;
2025-05-26 20:05:53.133;1,4227;-478,24;80,581;
2025-05-26 20:05:53.134;2,7468;-466,51;701,31;
2025-05-26 20:05:53.135;3,3024;-445,34;1302,9;
2025-05-26 20:05:53.136;-1,1739;-416,32;1884;
2025-05-26 20:05:53.137;-2,6628;-380,03;2422,7;
2025-05-26 20:05:53.138;-4,9645;-337,36;2918,7;
2025-05-26 20:05:53.139;-3,2261;-290,02;3351,7;
2025-05-26 20:05:53.140;-1,8098;-237,77;3722,9;
2025-05-26 20:05:53.141;-0,28076;-182,06;4015;
2025-05-26 20:05:53.142;1,4457;-123,77;4229,5;
2025-05-26 20:05:53.143;3,2474;-62,605;4354,9;
2025-05-26 20:05:53.144;5,7538;0,32923;4394,2;
2025-05-26 20:05:53.145;7,7758;63,36;4339,3;
2025-05-26 20:05:53.146;5,0563;126,35;4198,4;
2025-05-26 20:05:53.146;0,7245;187,8;3968,5;
2025-05-26 20:05:53.148;3,2602;245,7;3661;
2025-05-26 20:05:53.149;4,6257;299,72;3277,5;
2025-05-26 20:05:53.150;7,2839;347,84;2830,9;
2025-05-26 20:05:53.151;0,068472;389;2326,1;
2025-05-26 20:05:53.152;-2,4124;422,72;1777,9;
2025-05-26 20:05:53.153;-0,96823;447,95;1193,4;
2025-05-26 20:05:53.154;-0,47835;464,3;588,52;
2025-05-26 20:05:53.155;0,8007;471,39;-30,122;
2025-05-26 20:05:53.156;0,83083;469,16;-645,48;
2025-05-26 20:05:53.157;-4,1236;458;-1249,6;
2025-05-26 20:05:53.158;-6,383;437,62;-1827,6;
2025-05-26 20:05:53.159;-4,0249;408,3;-2371,9;
2025-05-26 20:05:53.160;-4,0652;370,91;-2868,1;
2025-05-26 20:05:53.161;-1,5668;325,56;-3309,1;
2025-05-26 20:05:53.162;-4,7682;272,76;-3682,6;
2025-05-26 20:05:53.163;-3,5911;213,56;-3984,6;
2025-05-26 20:05:53.164;-2,8233;148,6;-4204,4;
2025-05-26 20:05:53.165;-2,5821;79,114;-4340,7;
2025-05-26 20:05:53.166;-0,72903;7,5786;-4385,1;
2025-05-26 20:05:53.167;0,47406;-65,812;-4342,9;
2025-05-26 20:05:53.168;2,0287;-138,16;-4207,2;
2025-05-26 20:05:53.169;2,3826;-207,44;-3989,3;
2025-05-26 20:05:53.170;4,3661;-272,28;-3685,3;
2025-05-26 20:05:53.171;1,1463;-330,44;-3311,5;
2025-05-26 20:05:53.172;1,3741;-380,11;-2865,9;
2025-05-26 20:05:53.173;1,6543;-420,5;-2370,2;
2025-05-26 20:05:53.174;0,37877;-450,47;-1820,4;
2025-05-26 20:05:53.175;0,40657;-470;-1240,6;
2025-05-26 20:05:53.176;-0,96559;-478,74;-631,62;
2025-05-26 20:05:53.177;-1,4418;-476,94;-15,847;
2025-05-26 20:05:53.178;-0,94244;-465,96;605,6;
2025-05-26 20:05:53.179;-0,51725;-445,2;1209,2;
2025-05-26 20:05:53.180;0,91332;-416,93;1794,9;
2025-05-26 20:05:53.181;0,013182;-381,24;2340;
2025-05-26 20:05:53.182;-2,5875;-338,76;2844;
2025-05-26 20:05:53.183;-2,5133;-291,2;3287,1;
2025-05-26 20:05:53.184;-1,2404;-239,64;3669,1;
2025-05-26 20:05:53.185;0,16616;-184,37;3973,7;
2025-05-26 20:05:53.186;2,6808;-126;4201,8;
2025-05-26 20:05:53.187;1,8497;-66,228;4340,4;
2025-05-26 20:05:53.188;-0,31739;-5,3746;4394,4;
2025-05-26 20:05:53.189;2,3058;56,089;4354,6;
2025-05-26 20:05:53.190;3,613;116,3;4228,6;
2025-05-26 20:05:53.191;5,3519;174,84;4012,9;
2025-05-26 20:05:53.192;6,998;231,07;3717,9;
2025-05-26 20:05:53.193;7,6338;283,52;3345,3;
2025-05-26 20:05:53.194;3,832;331,19;2909,3;
2025-05-26 20:05:53.195;2,6272;373,68;2412,1;
2025-05-26 20:05:53.196;-0,22695;410,11;1870,8;
2025-05-26 20:05:53.197;0,43362;439,26;1291;
2025-05-26 20:05:53.198;0,53754;460,54;688,2;
2025-05-26 20:05:53.199;-0,31369;473,2;70,371;
2025-05-26 20:05:53.200;-3,0578;476,27;-546,75;
2025-05-26 20:05:53.201;-2,3814;469,21;-1154;
2025-05-26 20:05:53.202;-2,7697;452,15;-1738,4;
2025-05-26 20:05:53.203;-4,2514;424,4;-2289,4;
2025-05-26 20:05:53.204;-4,8385;386,54;-2794,6;
2025-05-26 20:05:53.205;-4,4906;339,4;-3245,8;
2025-05-26 20:05:53.206;-2,2021;282,96;-3630,5;
2025-05-26 20:05:53.207;-3,3104;220,1;-3944,9;
2025-05-26 20:05:53.208;-1,5935;151,71;-4176,3;
2025-05-26 20:05:53.209;0,34483;79,195;-4326,3;
2025-05-26 20:05:53.210;2,7589;5,9707;-4383,9;
2025-05-26 20:05:53.211;1,1711;-67,828;-4355,3;
2025-05-26 20:05:53.212;-3,2937;-138,48;-4232,3;
2025-05-26 20:05:53.213;-1,4319;-205,53;-4028,7;
2025-05-26 20:05:53.214;0,12363;-266,55;-3736,6;
2025-05-26 20:05:53.215;1,2348;-320,55;-3373,2;
2025-05-26 20:05:53.216;1,9255;-366,9;-2937,8;
2025-05-26 20:05:53.217;2,4616;-404,71;-2448,9;
2025-05-26 20:05:53.218;1,5129;-433,54;-1905,9;
2025-05-26 20:05:53.219;1,4195;-453,94;-1331,3;
2025-05-26 20:05:53.220;1,5525;-465,57;-725,56;
2025-05-26 20:05:53.221;1,7944;-467,99;-110,94;
2025-05-26 20:05:53.222;0,74274;-462,64;510,72;
2025-05-26 20:05:53.223;0,60422;-448,86;1116,6;
2025-05-26 20:05:53.224;1,9973;-426,72;1706;
2025-05-26 20:05:53.225;0,97515;-397,42;2257,3;
2025-05-26 20:05:53.226;-2,7597;-360,16;2768,5;
2025-05-26 20:05:53.227;-2,0371;-315,69;3220,1;
2025-05-26 20:05:53.228;-5,0836;-264,84;3613;
2025-05-26 20:05:53.229;-5,023;-208,48;3929;
2025-05-26 20:05:53.230;-2,6539;-147,7;4170,7;
2025-05-26 20:05:53.231;-1,304;-82,971;4323,3;
2025-05-26 20:05:53.232;0,73389;-16,287;4391,7;
2025-05-26 20:05:53.233;2,264;50,703;4365,8;
2025-05-26 20:05:53.234;3,9129;116,78;4255,1;
2025-05-26 20:05:53.235;5,3352;180,22;4053,1;
2025-05-26 20:05:53.236;3,7733;239,71;3771,8;
2025-05-26 20:05:53.237;4,5078;293,82;3411,6;
2025-05-26 20:05:53.238;2,1339;341,85;2985,1;
2025-05-26 20:05:53.239;2,8286;382,87;2497,2;
2025-05-26 20:05:53.240;4,0239;416,42;1962,3;
2025-05-26 20:05:53.241;0,90731;442,21;1388,5;
2025-05-26 20:05:53.242;0,36081;459,9;788,1;
2025-05-26 20:05:53.243;1,0628;469,17;172,27;
2025-05-26 20:05:53.244;-0,36807;469,85;-445,86;
2025-05-26 20:05:53.245;0,52889;461,96;-1056,4;
2025-05-26 20:05:53.246;-1,5906;444,84;-1644,4;
2025-05-26 20:05:53.247;-2,7004;418,56;-2202,2;
2025-05-26 20:05:53.248;-0,30314;383,56;-2714,3;
2025-05-26 20:05:53.249;2,2344;339,8;-3175,4;
2025-05-26 20:05:53.250;-0,82803;287,79;-3570,8;
2025-05-26 20:05:53.251;-5,6366;229,38;-3897,4;
2025-05-26 20:05:53.252;-6,39;164,27;-4142,2;
2025-05-26 20:05:53.253;-3,6664;94,729;-4307,4;
2025-05-26 20:05:53.254;-1,9899;23,115;-4379,8;
2025-05-26 20:05:53.255;0,30486;-50,36;-4365,4;
2025-05-26 20:05:53.256;-0,85333;-122,82;-4257,5;
2025-05-26 20:05:53.256;-0,019254;-191,91;-4066;
2025-05-26 20:05:53.258;1,4462;-257,33;-3787;
2025-05-26 20:05:53.259;2,388;-315,9;-3435,7;
2025-05-26 20:05:53.260;1,5425;-366,6;-3010,1;
2025-05-26 20:05:53.261;1,7417;-408,96;-2529,6;
2025-05-26 20:05:53.262;2,7436;-441,45;-1993,2;
2025-05-26 20:05:53.263;-0,044932;-463,83;-1423,4;
2025-05-26 20:05:53.263;0,010572;-476,15;-821,17;
2025-05-26 20:05:53.265;0,95187;-478,2;-207,53;
2025-05-26 20:05:53.266;1,6008;-470,51;414,62;
2025-05-26 20:05:53.267;-0,22129;-453,57;1022,4;
2025-05-26 20:05:53.268;-0,50215;-427,6;1616,5;
2025-05-26 20:05:53.269;0,97134;-393,9;2173;
2025-05-26 20:05:53.270;-1,3022;-353,36;2692,5;
2025-05-26 20:05:53.271;-0,64064;-306,79;3153,4;
2025-05-26 20:05:53.272;0,61828;-255,42;3557;
2025-05-26 20:05:53.273;-1,6691;-200,27;3884;
2025-05-26 20:05:53.274;-2,005;-142,61;4138,7;
2025-05-26 20:05:53.275;-0,14684;-83,017;4304,6;
2025-05-26 20:05:53.276;0,96375;-22,312;4386,9;
2025-05-26 20:05:53.277;-2,0298;38,075;4375,4;
2025-05-26 20:05:53.278;-0,15745;97,753;4277,5;
2025-05-26 20:05:53.279;0,79427;156,11;4088,8;
2025-05-26 20:05:53.280;2,0637;212,05;3819,4;
2025-05-26 20:05:53.281;2,6855;265,05;3470,8;
2025-05-26 20:05:53.282;3,6333;314,04;3054,2;
2025-05-26 20:05:53.283;3,9492;358,76;2576,2;
2025-05-26 20:05:53.284;5,0686;397,8;2048,7;
2025-05-26 20:05:53.285;4,5107;429,68;1479,5;
2025-05-26 20:05:53.286;0,14815;454,81;883,55;
2025-05-26 20:05:53.287;-0,69241;471,64;269,5;
2025-05-26 20:05:53.288;-0,54783;478,36;-347,51;
2025-05-26 20:05:53.289;0,86586;475,62;-959,33;
2025-05-26 20:05:53.290;-3,106;462,41;-1550,8;
2025-05-26 20:05:53.291;-4,2485;438,14;-2114,1;
2025-05-26 20:05:53.292;-2,5168;403,41;-2633,7;
2025-05-26 20:05:53.293;-1,6605;359,29;-3104,9;
2025-05-26 20:05:53.293;-0,40368;305,82;-3511,2;
2025-05-26 20:05:53.295;-2,5265;245,03;-3850,2;
2025-05-26 20:05:53.296;-4,7384;178,32;-4108,7;
2025-05-26 20:05:53.297;-3,3616;106,82;-4286,9;
2025-05-26 20:05:53.298;-1,6766;33,356;-4374,1;
2025-05-26 20:05:53.299;-0,41846;-40,703;-4375,1;
2025-05-26 20:05:53.300;0,69678;-113,63;-4282,3;
2025-05-26 20:05:53.301;1,6664;-183,3;-4104,9;
2025-05-26 20:05:53.302;2,3668;-248,22;-3839,1;
2025-05-26 20:05:53.303;3,1545;-306,85;-3499,9;
2025-05-26 20:05:53.304;3,6183;-357,95;-3085,9;
2025-05-26 20:05:53.305;4,4629;-400,88;-2614;
2025-05-26 20:05:53.306;4,9346;-434,28;-2085,6;
2025-05-26 20:05:53.307;5,8514;-458,51;-1521,4;
2025-05-26 20:05:53.308;0,040434;-472,71;-921,71;
2025-05-26 20:05:53.309;-1,9249;-477,11;-310,1;
2025-05-26 20:05:53.310;-0,60173;-472,2;313,71;
2025-05-26 20:05:53.311;-0,79112;-458,34;924,45;
2025-05-26 20:05:53.312;-0,63818;-435,54;1523,6;
2025-05-26 20:05:53.313;0,5751;-404,86;2085,7;
2025-05-26 20:05:53.314;-2,8619;-367,14;2613,8;
2025-05-26 20:05:53.315;-4,7073;-322,38;3084,1;
2025-05-26 20:05:53.316;-2,3733;-272,17;3499,2;
2025-05-26 20:05:53.317;-1,9184;-217,52;3839,1;
2025-05-26 20:05:53.318;-1,7664;-158,97;4106,3;
2025-05-26 20:05:53.319;-2,6114;-97,95;4285,4;
2025-05-26 20:05:53.320;1,005;-35,25;4381;
2025-05-26 20:05:53.321;1,3971;28,157;4383,7;
2025-05-26 20:05:53.322;0,12609;90,798;4298,5;
2025-05-26 20:05:53.323;2,4778;152,05;4123,8;
2025-05-26 20:05:53.324;4,4634;210,77;3866,8;
2025-05-26 20:05:53.325;6,5962;265,54;3528,7;
2025-05-26 20:05:53.326;6,9298;315,73;3122,5;
2025-05-26 20:05:53.327;9,4794;360,65;2651,9;
2025-05-26 20:05:53.328;10,089;398,75;2131,8;
2025-05-26 20:05:53.329;-2,8005;429,89;1568,4;
2025-05-26 20:05:53.330;-3,4742;453,35;976,38;
2025-05-26 20:05:53.331;-1,705;467,86;363,77;
2025-05-26 20:05:53.332;-1,2193;473,51;-253,8;
2025-05-26 20:05:53.333;-0,92608;469,62;-868,31;
2025-05-26 20:05:53.334;0,018535;456,38;-1462,9;
2025-05-26 20:05:53.335;-0,066306;433,34;-2031,5;
2025-05-26 20:05:53.336;-6,989;401,03;-2557,8;
2025-05-26 20:05:53.337;-7,6847;360,25;-3036,3;
2025-05-26 20:05:53.338;-4,1351;310,91;-3452,5;
2025-05-26 20:05:53.339;-4,2919;254,37;-3802,5;
2025-05-26 20:05:53.340;-3,0792;192,03;-4073,7;
2025-05-26 20:05:53.341;-3,0432;124,98;-4264,7;
2025-05-26 20:05:53.342;-1,7576;54,408;-4366;
2025-05-26 20:05:53.343;-0,38349;-17,967;-4380,8;
2025-05-26 20:05:53.344;0,95128;-90,625;-4302,6;
2025-05-26 20:05:53.345;2,1351;-161,81;-4139;
2025-05-26 20:05:53.346;3,5467;-229,91;-3886,8;
2025-05-26 20:05:53.347;4,6029;-292,5;-3560,3;
2025-05-26 20:05:53.348;3,0302;-348,42;-3156,2;
2025-05-26 20:05:53.349;2,8163;-396,21;-2694,6;
2025-05-26 20:05:53.350;5,0784;-433,92;-2173,5;
2025-05-26 20:05:53.351;3,3379;-461,25;-1615;
2025-05-26 20:05:53.352;1,1836;-477,99;-1018,7;
2025-05-26 20:05:53.353;0,99848;-483,65;-410,49;
2025-05-26 20:05:53.354;-0,27371;-478,8;213,12;
2025-05-26 20:05:53.355;0,27278;-464,53;826,4;
2025-05-26 20:05:53.356;1,1855;-441,41;1428,9;
2025-05-26 20:05:53.357;-1,413;-410,67;1997,6;
2025-05-26 20:05:53.358;-3,2586;-373,34;2532,5;
2025-05-26 20:05:53.359;-1,9865;-329,89;3011,8;
2025-05-26 20:05:53.360;0,35171;-281,97;3436,5;
2025-05-26 20:05:53.361;-1,1214;-229,52;3788,3;
2025-05-26 20:05:53.362;-4,8576;-173,19;4067,8;
2025-05-26 20:05:53.363;-2,5767;-113,7;4261,3;
2025-05-26 20:05:53.364;-0,85392;-51,234;4371,6;
2025-05-26 20:05:53.365;1,3578;13,283;4388,3;
2025-05-26 20:05:53.366;2,1795;78,533;4318,5;
2025-05-26 20:05:53.367;1,9284;143,62;4156,6;
2025-05-26 20:05:53.368;3,8377;206,94;3913,3;
2025-05-26 20:05:53.369;5,3233;266,25;3587,4;
2025-05-26 20:05:53.370;6,6013;320,05;3192,2;
2025-05-26 20:05:53.371;-2,262;367,53;2730,7;
2025-05-26 20:05:53.372;-2,3061;406,63;2216,9;
2025-05-26 20:05:53.373;-0,94891;436,47;1658,1;
2025-05-26 20:05:53.374;-0,77406;457,23;1070,4;
2025-05-26 20:05:53.375;-0,84871;468,91;459,19;
2025-05-26 20:05:53.376;0,14578;470,8;-158,23;
2025-05-26 20:05:53.377;0,062452;464,35;-773,81;
2025-05-26 20:05:53.378;2,8632;450,13;-1372,3;
2025-05-26 20:05:53.379;-1,1905;426,92;-1946;
2025-05-26 20:05:53.380;-4,3425;396,61;-2479,6;
2025-05-26 20:05:53.381;-1,8066;359,21;-2966,1;
2025-05-26 20:05:53.382;-3,2832;313,38;-3392,4;
2025-05-26 20:05:53.383;-1,635;261,29;-3753,2;
2025-05-26 20:05:53.384;-0,039723;201,98;-4036,9;
2025-05-26 20:05:53.385;1,9709;136,35;-4241,2;
2025-05-26 20:05:53.386;2,5432;66,468;-4356,1;
2025-05-26 20:05:53.387;0,66929;-7,4189;-4385,3;
2025-05-26 20:05:53.388;2,2978;-82,604;-4319,7;
