Time(s);Coil;Accelerometer;Generator;
2025-05-26 19:59:53.000;-3,0628;-0,56102;-3239,6;
2025-05-26 19:59:53.001;-1,1638;-1,1248;-2318,9;
2025-05-26 19:59:53.002;0,95513;0,88594;-1219,7;
2025-05-26 19:59:53.003;1,7794;3,0274;-36,664;
2025-05-26 19:59:53.004;-1,351;3,1297;1154,9;
2025-05-26 19:59:53.005;-0,25772;3,3613;2255,5;
2025-05-26 19:59:53.006;0,15909;2,0437;3194,2;
2025-05-26 19:59:53.007;2,0503;-0,89719;3886,9;
2025-05-26 19:59:53.008;0,27064;-4,6342;4289,2;
2025-05-26 19:59:53.009;1,2078;-8,5995;4354,9;
2025-05-26 19:59:53.010;2,5618;-11,733;4088,7;
2025-05-26 19:59:53.011;0,87753;-12,986;3505,2;
2025-05-26 19:59:53.012;-2,681;-12,382;2658,7;
2025-05-26 19:59:53.013;-2,0633;-9,4855;1613,8;
2025-05-26 19:59:53.014;-0,56001;-4,5265;452,33;
2025-05-26 19:59:53.015;-0,95234;1,3177;-740;
2025-05-26 19:59:53.016;-0,0012658;7,4917;-1878,3;
2025-05-26 19:59:53.017;0,3383;11,941;-2878,1;
2025-05-26 19:59:53.018;1,012;14,561;-3663,8;
2025-05-26 19:59:53.019;2,1909;14,663;-4171,8;
2025-05-26 19:59:53.020;0,58473;12,029;-4359,4;
2025-05-26 19:59:53.021;-1,5824;7,8277;-4210,3;
2025-05-26 19:59:53.022;0,30619;2,9717;-3732,4;
2025-05-26 19:59:53.023;1,1793;-2,5614;-2971,4;
2025-05-26 19:59:53.024;3,8153;-6,6818;-1981;
2025-05-26 19:59:53.025;1,5574;-7,1216;-849,04;
2025-05-26 19:59:53.026;-0,52904;-6,8035;351,68;
2025-05-26 19:59:53.027;1,1493;-4,8276;1519,2;
2025-05-26 19:59:53.028;0,78735;-1,0987;2581,6;
2025-05-26 19:59:53.029;-0,39612;2,1747;3443,7;
2025-05-26 19:59:53.030;-0,039174;4,2914;4052,9;
2025-05-26 19:59:53.031;0,58751;4,0394;4344,8;
2025-05-26 19:59:53.032;-0,24891;1,6038;4305,7;
2025-05-26 19:59:53.032;-0,36406;-2,4348;3930,3;
2025-05-26 19:59:53.034;0,33698;-7,421;3256,8;
2025-05-26 19:59:53.035;-1,8313;-12,096;2336,5;
2025-05-26 19:59:53.036;-1,0256;-14,852;1245;
2025-05-26 19:59:53.037;1,6792;-14,483;64,866;
2025-05-26 19:59:53.038;1,523;-10,39;-1119,1;
2025-05-26 19:59:53.039;-0,55659;-3,2823;-2220,1;
2025-05-26 19:59:53.040;-0,75571;5,8328;-3158,7;
2025-05-26 19:59:53.041;0,70325;15,378;-3860,4;
2025-05-26 19:59:53.042;1,4891;22,168;-4268,6;
2025-05-26 19:59:53.043;1,2163;25,367;-4349,5;
2025-05-26 19:59:53.044;-1,1119;23,805;-4090,5;
2025-05-26 19:59:53.045;-2,8397;16,907;-3518,7;
2025-05-26 19:59:53.046;-0,09252;4,7399;-2673,7;
2025-05-26 19:59:53.047;0,9391;-7,766;-1633,8;
2025-05-26 19:59:53.048;3,0297;-18,31;-466,52;
2025-05-26 19:59:53.049;1,0017;-26,253;727,48;
2025-05-26 19:59:53.050;-0,080409;-27,211;1876,2;
2025-05-26 19:59:53.051;0,71547;-20,551;2878,1;
2025-05-26 19:59:53.052;-0,19326;-8,3443;3671,8;
2025-05-26 19:59:53.053;-1,9408;7,5385;4180,2;
2025-05-26 19:59:53.054;-0,98768;22,596;4371,6;
2025-05-26 19:59:53.055;0,82787;32,489;4219,9;
2025-05-26 19:59:53.056;3,2033;33,365;3745,7;
2025-05-26 19:59:53.057;-1,2717;22,383;2983,7;
2025-05-26 19:59:53.058;-3,5165;-0,5212;1999,5;
2025-05-26 19:59:53.059;-0,88818;-31,843;869,87;
2025-05-26 19:59:53.060;0,079606;-66,386;-322,5;
2025-05-26 19:59:53.061;0,58957;-95,973;-1489,2;
2025-05-26 19:59:53.062;0,63386;-111,89;-2547,5;
2025-05-26 19:59:53.063;1,8353;-106,24;-3416;
2025-05-26 19:59:53.064;2,2624;-72,962;-4027,8;
