z,s
0.05,0.006302235632369234
0.055,0.0072919430394496635
0.06,0.008457788845093706
0.065,0.009877627009187432
0.07,0.011685131400245357
0.075,0.01413326446536736
0.08,0.017560221927761115
0.085,0.022145216636072943
0.09,0.027652784986295455
0.095,0.033536609583040895
0.1,0.0393102308551472
0.105,0.0448044521547937
0.11,0.05010837231304739
0.115,0.05533732678905228
0.12,0.06039042387258579
0.125,0.06488112597662408
0.13,0.06819766196508162
0.135,0.06963046543706748
0.14,0.06875455738542154
0.145,0.06572109058217654
0.15,0.061238590343377114
0.155,0.05626878148781263
0.16,0.05164224137655819
0.165,0.04778735548531792
0.17,0.04467101557383664
0.175,0.04196314921618496
0.18,0.0392677394261375
0.185,0.03623982690901197
0.19,0.032612554761494786
0.195,0.028261056580709123
0.2,0.0233165756061289
