z,s
0.05,0.006803932520351807
0.055,0.007911794899560762
0.06,0.008950386327457352
0.065,0.010374806564352516
0.07,0.01214939673294195
0.075,0.014462660639270146
0.08,0.017593001099031638
0.085,0.02170419415489229
0.09,0.02665823661765874
0.095,0.03216285650324506
0.1,0.03787502165353073
0.105,0.04343326039347766
0.11,0.048619868474534596
0.115,0.05356336738303036
0.12,0.058535829693422047
0.125,0.06344574081802486
0.13,0.06754038545992778
0.135,0.06965563638747782
0.14,0.06903560556751363
0.145,0.06589895741858987
0.15,0.06134100235763527
0.155,0.05660075913996158
0.16,0.05234776862653308
0.165,0.048661718037090185
0.17,0.04545713810028168
0.175,0.04265220729632071
0.18,0.04003296229509841
0.185,0.03720961551129371
0.19,0.03384337422966994
0.195,0.02978675066184526
0.2,0.025075402394043576
