z,s
0.05,0.006453603220827051
0.055,0.007338889106990167
0.06,0.008373203432525195
0.065,0.009649516923312581
0.07,0.011331170742140894
0.075,0.013688026040228252
0.08,0.017069437641349043
0.085,0.021632873142659288
0.09,0.02705053731196001
0.095,0.032654285942118194
0.1,0.03792640674292255
0.105,0.04284052257344279
0.11,0.047994495446482814
0.115,0.053819190832513776
0.12,0.06002466921259129
0.125,0.06576629845919947
0.13,0.07002926565475395
0.135,0.07195292004746706
0.14,0.07112345898449672
0.145,0.06772220013170985
0.15,0.06255507947777485
0.155,0.056820951274745804
0.16,0.05162874739545298
0.165,0.04750969231827718
0.17,0.044324665600859924
0.175,0.041599053523966686
0.18,0.038859866589613136
0.185,0.03573687041881562
0.19,0.031967014242177995
0.195,0.027462358918111284
0.2,0.022416531447668267
