z,s
0.05,0.0068790699315023135
0.055,0.007845013329221356
0.06,0.008964822169630886
0.065,0.010435205055833133
0.07,0.012161048864722687
0.075,0.014469178083635709
0.08,0.017604598491391496
0.085,0.021759229983124847
0.09,0.026796937748624267
0.095,0.03241701281336011
0.1,0.03814059937768685
0.105,0.0435276235171917
0.11,0.04846317076580551
0.115,0.053288437277519154
0.12,0.05840710195134877
0.125,0.06359191522819854
0.13,0.06781464149352424
0.135,0.06980368123027036
0.14,0.06895707402602963
0.145,0.06574426712514414
0.15,0.061327073456614804
0.155,0.056735837310475656
0.16,0.05245400144651757
0.165,0.04865867664976558
0.17,0.045434699441003604
0.175,0.04269499969751052
0.18,0.040103361485324715
0.185,0.03725874325337497
0.19,0.03390132070832729
0.195,0.02986818577953415
0.2,0.025164326477035166
