z,s
0.05,0.004816976947213812
0.055,0.00271828446481483
0.06,0.0013009090238029904
0.065,0.0002652207637853604
0.07,0.0003194943757720516
0.075,0.0003353949576949782
0.08,0.0006486452392658411
0.085,0.0013981169538318666
0.09,0.0024748942204830216
0.095,0.0039577108095182195
0.1,0.0060811414898558755
0.105,0.009111348044624722
0.11,0.013339811981453382
0.115,0.01890325242414677
0.12,0.025531929701442285
0.125,0.03216287743390856
0.13,0.037271588344625795
0.135,0.03951890065589043
0.14,0.0383363144252184
0.145,0.03414113048494717
0.15,0.028091306034674173
0.155,0.021584310000504363
0.16,0.01574306170327591
0.165,0.011127670618816525
0.17,0.007788874478737386
0.175,0.005494661425467749
0.18,0.003947054193161626
0.185,0.0028982464360925025
0.19,0.0021754625791901034
0.195,0.001666610383922183
0.2,0.0013004122226030598
