z,s
0.05,0.004576898778852715
0.055,0.002697223105169534
0.06,0.0013014121099040774
0.065,0.00024871210494418767
0.07,0.0003040775186015849
0.075,0.000303740085045233
0.08,0.0006286538088713029
0.085,0.0013809052155626233
0.09,0.0024644296787235025
0.095,0.003971943735124686
0.1,0.006090211777350808
0.105,0.009115440279977542
0.11,0.013346006738203818
0.115,0.018904496593465697
0.12,0.02550055000738141
0.125,0.03208830218182598
0.13,0.037196602650285356
0.135,0.03948745233602368
0.14,0.03833863924608087
0.145,0.03413113356845778
0.15,0.028055714235365403
0.155,0.02154580058978138
0.16,0.01571239167894178
0.165,0.011103607731787994
0.17,0.007770775749712331
0.175,0.0054821129110741796
0.18,0.003938769143240011
0.185,0.0028928224900344563
0.19,0.0021718555457362018
0.195,0.0016641489381020813
0.2,0.0012986841495861107
