z,s
0.05,0.006875321269215427
0.055,0.002780298657484967
0.06,0.0013851526455309353
0.065,0.0003996529400740967
0.07,0.0004493420284270912
0.075,0.0003838710674119878
0.08,0.0007129739640257993
0.085,0.0014649389520066825
0.09,0.002554207720635201
0.095,0.004044585429632941
0.1,0.00579341082073137
0.105,0.00859845206333224
0.11,0.013049905626999252
0.115,0.01868395555181915
0.12,0.02536563565518755
0.125,0.03202386901148285
0.13,0.0372712547960495
0.135,0.03973333243358163
0.14,0.038706527196069075
0.145,0.03450175465746757
0.15,0.028294949207575897
0.155,0.021591794177575487
0.16,0.015619428516014926
0.165,0.010971963560512936
0.17,0.0076612761336778525
0.175,0.005407783334821603
0.18,0.003892411073791597
0.185,0.0028647354530150306
0.19,0.00215489346158274
0.195,0.00165382782887271
0.2,0.0012923398359771926
