Time(s);Coil;Accelerometer;Generator;
2025-05-31 10:59:43.000;4,7992;4,5802;-4391,2;
2025-05-31 10:59:43.001;3,9611;-18,837;-4938,9;
2025-05-31 10:59:43.002;-0,096775;-40,155;-4993,7;
2025-05-31 10:59:43.003;-2,7182;-57,176;-4554,1;
2025-05-31 10:59:43.004;-4,6899;-68,339;-3655,3;
2025-05-31 10:59:43.005;-5,4397;-72,462;-2407,9;
2025-05-31 10:59:43.006;-5,6841;-69,513;-920,22;
2025-05-31 10:59:43.007;-5,8057;-59,723;646,06;
2025-05-31 10:59:43.008;-6,0072;-44,125;2158,3;
2025-05-31 10:59:43.009;-4,7769;-24,435;3458,5;
2025-05-31 10:59:43.010;-1,6477;-2,3645;4427,7;
2025-05-31 10:59:43.011;1,981;19,872;4959,7;
2025-05-31 10:59:43.012;4,9434;39,364;4997,8;
2025-05-31 10:59:43.013;7,6614;55,366;4537,6;
2025-05-31 10:59:43.014;9,7642;65,767;3623,7;
2025-05-31 10:59:43.015;11,173;70,029;2364,2;
2025-05-31 10:59:43.016;11,4;67,458;874,04;
2025-05-31 10:59:43.017;11,383;58,781;-689,72;
2025-05-31 10:59:43.018;9,6593;44,728;-2190,7;
2025-05-31 10:59:43.019;6,5062;25,954;-3479,9;
2025-05-31 10:59:43.020;3,0253;5,4475;-4434,8;
2025-05-31 10:59:43.021;1,7903;-15,962;-4955,4;
2025-05-31 10:59:43.022;-1,8337;-35,883;-4980,3;
2025-05-31 10:59:43.023;-3,9949;-52,283;-4512,1;
2025-05-31 10:59:43.024;-6,881;-63,917;-3590,1;
2025-05-31 10:59:43.025;-8,6071;-69,231;-2326,6;
2025-05-31 10:59:43.026;-8,7347;-68,078;-830,77;
2025-05-31 10:59:43.027;-7,0574;-60,191;735,3;
2025-05-31 10:59:43.028;-6,0131;-46,361;2239,2;
2025-05-31 10:59:43.029;-4,7602;-27,55;3523,2;
2025-05-31 10:59:43.030;-2,3868;-5,4564;4470,3;
2025-05-31 10:59:43.031;-0,20406;17,116;4976;
2025-05-31 10:59:43.032;2,4078;38,191;4986,4;
2025-05-31 10:59:43.032;4,2198;56,025;4500,6;
2025-05-31 10:59:43.034;6,1498;68,154;3565,5;
2025-05-31 10:59:43.035;7,2561;73,542;2290,7;
2025-05-31 10:59:43.036;7,5064;71,48;790,99;
2025-05-31 10:59:43.037;7,1237;62,223;-774,64;
2025-05-31 10:59:43.038;5,7075;46,453;-2268,9;
2025-05-31 10:59:43.039;3,7513;25,708;-3543,2;
2025-05-31 10:59:43.040;0,10946;2,8361;-4476,4;
2025-05-31 10:59:43.041;-0,30897;-20,622;-4970,7;
2025-05-31 10:59:43.042;-3,0734;-41,669;-4967,2;
2025-05-31 10:59:43.043;-6,1395;-58,451;-4472;
2025-05-31 10:59:43.044;-6,6306;-69,038;-3526,1;
2025-05-31 10:59:43.045;-8,9385;-72,396;-2244,9;
2025-05-31 10:59:43.046;-9,8696;-68,662;-739,84;
2025-05-31 10:59:43.047;-8,8312;-57,959;826,51;
2025-05-31 10:59:43.048;-8,445;-41,692;2321;
2025-05-31 10:59:43.049;-8,7371;-21,461;3586,7;
2025-05-31 10:59:43.050;-6,8989;0,87386;4510,4;
2025-05-31 10:59:43.051;-5,1369;22,86;4988,3;
2025-05-31 10:59:43.052;-2,5775;42,202;4970,3;
2025-05-31 10:59:43.053;-0,11466;57,458;4458,4;
2025-05-31 10:59:43.054;2,8656;67,032;3501,9;
2025-05-31 10:59:43.055;7,7615;70,254;2212,7;
2025-05-31 10:59:43.056;9,1968;66,925;707,8;
2025-05-31 10:59:43.057;8,0738;57,283;-855,22;
2025-05-31 10:59:43.058;6,4442;42,314;-2340,1;
2025-05-31 10:59:43.059;3,4461;23,379;-3598,7;
2025-05-31 10:59:43.060;-0,15996;2,1;-4511,5;
2025-05-31 10:59:43.061;-0,95031;-19,154;-4981,8;
2025-05-31 10:59:43.062;-5,2871;-39,035;-4951,7;
2025-05-31 10:59:43.063;-7,8847;-55,056;-4430,7;
2025-05-31 10:59:43.064;-8,6894;-66,122;-3462,8;
2025-05-31 10:59:43.065;-10,442;-70,791;-2166,1;
2025-05-31 10:59:43.065;-9,8815;-68,647;-653,17;
2025-05-31 10:59:43.067;-9,5215;-59,824;912,76;
2025-05-31 10:59:43.068;-9,1507;-45,034;2399,5;
2025-05-31 10:59:43.069;-7,6725;-25,364;3650,3;
2025-05-31 10:59:43.070;-4,9522;-2,621;4551;
2025-05-31 10:59:43.071;-2,3129;20,103;5001,2;
2025-05-31 10:59:43.072;0,48258;41,208;4953,5;
2025-05-31 10:59:43.073;2,589;58,501;4414,2;
2025-05-31 10:59:43.074;4,0219;69,807;3435,1;
2025-05-31 10:59:43.075;4,9577;74,181;2130,5;
2025-05-31 10:59:43.076;4,9148;71,01;618,31;
2025-05-31 10:59:43.077;4,0827;60,591;-943,85;
2025-05-31 10:59:43.078;2,5878;43,804;-2419,6;
2025-05-31 10:59:43.079;0,1786;22,72;-3661,9;
2025-05-31 10:59:43.080;-3,2213;-0,43051;-4551,6;
2025-05-31 10:59:43.081;-3,9246;-23,596;-4994,6;
2025-05-31 10:59:43.082;-7,9825;-43,956;-4937,2;
2025-05-31 10:59:43.083;-10,241;-59,755;-4391,1;
2025-05-31 10:59:43.084;-11,941;-69,182;-3402,7;
2025-05-31 10:59:43.085;-12,12;-71,575;-2091,7;
2025-05-31 10:59:43.086;-12,468;-66,962;-569,83;
2025-05-31 10:59:43.087;-12,907;-55,701;996,68;
2025-05-31 10:59:43.088;-12,982;-39,064;2475,5;
2025-05-31 10:59:43.089;-11,234;-18,905;3710,1;
2025-05-31 10:59:43.090;-8,3222;3,1297;4588,4;
2025-05-31 10:59:43.091;-4,7352;24,317;5011,8;
2025-05-31 10:59:43.092;-1,3914;42,952;4935,7;
2025-05-31 10:59:43.093;1,391;57,529;4369;
2025-05-31 10:59:43.094;3,6988;66,33;3366,7;
2025-05-31 10:59:43.095;5,0984;69,304;2045,6;
2025-05-31 10:59:43.096;5,5263;65,444;525,28;
2025-05-31 10:59:43.097;5,7111;55,628;-1035,4;
2025-05-31 10:59:43.098;4,3307;40,626;-2499,7;
2025-05-31 10:59:43.099;0,90816;21,82;-3723,1;
2025-05-31 10:59:43.100;-2,2723;0,92957;-4588,5;
2025-05-31 10:59:43.101;-4,0843;-20,151;-5004;
2025-05-31 10:59:43.102;-9,3581;-39,413;-4918,2;
2025-05-31 10:59:43.103;-11,816;-55,221;-4346;
2025-05-31 10:59:43.104;-16,053;-65,684;-3336,3;
2025-05-31 10:59:43.105;-18,381;-69,931;-2011;
2025-05-31 10:59:43.106;-19,89;-67,228;-484,15;
2025-05-31 10:59:43.107;-18,925;-57,933;1079,6;
2025-05-31 10:59:43.108;-17,438;-42,706;2548,4;
2025-05-31 10:59:43.109;-15,764;-22,811;3766,6;
